Year,UNIT_MEASURE,Regions,Value,M49_country_code,Unit multiplier,SERIES,COMMENT_TS,unique_id,col_caption_name,col_caption_name1_empty,year,value
2017.0,tenge per US dollars in 2010 prices,Pavlodar,2753.2,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Soltustik Kazakhstan,589.1,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Shygys Kazakhstan,1814.9,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Nur-Sultan city,768.0,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Almaty city,942.1,KAZ,,,,,,,,
2018.0,"percent, base year 2010",,10.7,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Akmola,15.4,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Aktobe,9.7,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Almaty,14.3,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Atyrau,4.4,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Batys Kazakhstan,4.5,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Zhambyl,12.4,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Karagandy,28.7,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Kostanay,9.7,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Kyzylorda,3.9,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Mangistau,4.4,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Pavlodar,23.7,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Soltustik Kazakhstan,7.8,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Shygys Kazakhstan,22.8,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Nur-Sultan city,4.1,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Almaty city,4.0,KAZ,,,,,,,,
2018.0,"percent, base year 2010",Shymkent city,22.6,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,,1182.0,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Akmola,1109.4,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Aktobe,1201.8,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Almaty,735.7,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Atyrau,2044.3,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Batys Kazakhstan,598.7,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Zhambyl,476.5,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Karagandy,3528.4,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Kostanay,818.3,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Kyzylorda,292.7,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Mangistau,739.5,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Pavlodar,2923.4,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Soltustik Kazakhstan,595.0,KAZ,,,,,,,,
2018.0,tenge per US dollars in 2010 prices,Shygys Kazakhstan,2019.9,KAZ,,,,,,,,
