Year,Age,Area,Regions,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2012.0,,,Zhambyl,45.43415498222892,KAZ,,,,,,,
2012.0,,,Karagandy,32.02022329892564,KAZ,,,,,,,
2012.0,,,Kostanay,30.18575851393189,KAZ,,,,,,,
2012.0,,,Kyzylorda,29.28988510077228,KAZ,,,,,,,
2012.0,,,Mangistau,54.89684343150269,KAZ,,,,,,,
2012.0,,,Ontustik Kazakhstan,34.49343188599587,KAZ,,,,,,,
2012.0,,,Pavlodar,31.48986419996064,KAZ,,,,,,,
2012.0,,,Soltustik Kazakhstan,28.247507171151483,KAZ,,,,,,,
2012.0,,,Shygys Kazakhstan,25.68730423037064,KAZ,,,,,,,
2012.0,,,Nur-Sultan city,26.033616692426584,KAZ,,,,,,,
2012.0,,,Almaty city,19.094380796508457,KAZ,,,,,,,
2012.0,,urban,,32.79511883381278,KAZ,,,,,,,
2012.0,,urban,Akmola,33.93194706994329,KAZ,,,,,,,
2012.0,,urban,Aktobe,33.32384836700496,KAZ,,,,,,,
2012.0,,urban,Almaty,40.69087629038185,KAZ,,,,,,,
2012.0,,urban,Atyrau,59.61155646419541,KAZ,,,,,,,
2012.0,,urban,Batys Kazakhstan,42.94788914497723,KAZ,,,,,,,
2012.0,,urban,Zhambyl,35.640307054953084,KAZ,,,,,,,
2012.0,,urban,Karagandy,33.62265874828689,KAZ,,,,,,,
2012.0,,urban,Kostanay,31.248665955176094,KAZ,,,,,,,
2012.0,,urban,Kyzylorda,35.407637582795,KAZ,,,,,,,
2012.0,,urban,Mangistau,50.36814707123763,KAZ,,,,,,,
2012.0,,urban,Ontustik Kazakhstan,34.40895815350416,KAZ,,,,,,,
2012.0,,urban,Pavlodar,32.16171158655182,KAZ,,,,,,,
2012.0,,urban,Soltustik Kazakhstan,28.882785505448748,KAZ,,,,,,,
2012.0,,urban,Shygys Kazakhstan,28.3429404661548,KAZ,,,,,,,
2012.0,,urban,Nur-Sultan city,26.033616692426584,KAZ,,,,,,,
2012.0,,urban,Almaty city,19.094380796508457,KAZ,,,,,,,
2012.0,,rural,,34.76437584972138,KAZ,,,,,,,
2012.0,,rural,Akmola,34.917170915583775,KAZ,,,,,,,
2012.0,,rural,Aktobe,25.2637836231238,KAZ,,,,,,,
2012.0,,rural,Almaty,35.2402961845022,KAZ,,,,,,,
