Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code,Unit multiplier,COMPOSITE_BREAKDOWN,unique_id,col_caption_name,year,value
2012.0,mln.people,Passengers transported by all means of transport,Almaty city,3799.5,KAZ,,,,,,
2012.0,tons,transported by air,,21954.2,KAZ,,,,,,
2012.0,tons,transported by air,Batys Kazakhstan,183.0,KAZ,,,,,,
2012.0,tons,transported by air,Ontustik Kazakhstan,768.0,KAZ,,,,,,
2012.0,tons,transported by air,Shygys Kazakhstan,5.8,KAZ,,,,,,
2012.0,tons,transported by air,Almaty city,20997.4,KAZ,,,,,,
2012.0,thousand people,passengers transported by air,,4512.0,KAZ,,,,,,
2012.0,thousand people,passengers transported by air,Almaty,30.0,KAZ,,,,,,
2012.0,thousand people,passengers transported by air,Atyrau,0.4,KAZ,,,,,,
2012.0,thousand people,passengers transported by air,Karagandy,59.7,KAZ,,,,,,
2012.0,thousand people,passengers transported by air,Batys Kazakhstan,7.2,KAZ,,,,,,
2012.0,thousand people,passengers transported by air,Ontustik Kazakhstan,1095.8,KAZ,,,,,,
2012.0,thousand people,passengers transported by air,Nur-Sultan city,5.1,KAZ,,,,,,
2012.0,thousand people,passengers transported by air,Almaty city,5.5,KAZ,,,,,,
2012.0,thousand people,passengers transported by air,Shymkent city,3308.3,KAZ,,,,,,
2012.0,millions tonnes,performance indicators of pipeline transport,,213.2,KAZ,,,,,,
2012.0,millions tonnes,performance indicators of pipeline transport,Atyrau,68.2,KAZ,,,,,,
2012.0,millions tonnes,performance indicators of pipeline transport,Pavlodar,25.7,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1R,,4.0,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1R,Mangistau,4.0,KAZ,,,,,,
2013.0,millions tonnes,Cargo transported by all means of transport,,3508.0,KAZ,,,,,,
2013.0,millions tonnes,Pipeline,,225.9,KAZ,,,,,,
2013.0,millions tonnes,Railway,,293.7,KAZ,,,,,,
2013.0,millions tonnes,Automobile,,2983.4,KAZ,,,,,,
2013.0,millions tonnes,Air,,0.2,KAZ,,,,,,
2013.0,millions tonnes,Inland water еransport,,1.1,KAZ,,,,,,
2013.0,millions tonnes,nautical,,4.0,KAZ,,,,,,
2013.0,millions tonnes,,Akmola,121.5,KAZ,,,,,,
2013.0,millions tonnes,,Aktobe,62.2,KAZ,,,,,,
2013.0,millions tonnes,,Almaty,159.0,KAZ,,,,,,
2013.0,millions tonnes,,Atyrau,151.3,KAZ,,,,,,
2013.0,millions tonnes,,Batys Kazakhstan,38.9,KAZ,,,,,,
2013.0,millions tonnes,,Zhambyl,88.4,KAZ,,,,,,
2013.0,millions tonnes,,Karagandy,676.7,KAZ,,,,,,
2013.0,millions tonnes,,Kostanay,299.7,KAZ,,,,,,
2013.0,millions tonnes,,Kyzylorda,106.1,KAZ,,,,,,
2013.0,millions tonnes,,Mangistau,215.1,KAZ,,,,,,
2013.0,millions tonnes,,Ontustik Kazakhstan,133.0,KAZ,,,,,,
2013.0,millions tonnes,,Pavlodar,116.5,KAZ,,,,,,
2013.0,millions tonnes,,Soltustik Kazakhstan,49.3,KAZ,,,,,,
2013.0,millions tonnes,,Shygys Kazakhstan,553.7,KAZ,,,,,,
2013.0,millions tonnes,,Nur-Sultan city,124.1,KAZ,,,,,,
2013.0,millions tonnes,,Almaty city,194.4,KAZ,,,,,,
2013.0,mln.people,Passengers transported by all means of transport,,20004.3,KAZ,,,,,,
2013.0,mln.people,Railway transport,,28.6,KAZ,,,,,,
2013.0,mln.people,Automobile,,19905.3,KAZ,,,,,,
2013.0,mln.people,Inland water еransport,,0.1,KAZ,,,,,,
2013.0,mln.people,Air,,5.0,KAZ,,,,,,
2013.0,mln.people,City electric transport,,65.3,KAZ,,,,,,
2013.0,mln.people,,Akmola,1604.5,KAZ,,,,,,
2013.0,mln.people,,Aktobe,238.4,KAZ,,,,,,
2013.0,mln.people,,Almaty,629.0,KAZ,,,,,,
2013.0,mln.people,,Atyrau,167.9,KAZ,,,,,,
2013.0,mln.people,,Batys Kazakhstan,425.8,KAZ,,,,,,
2013.0,mln.people,,Zhambyl,864.6,KAZ,,,,,,
2013.0,mln.people,,Karagandy,2299.9,KAZ,,,,,,
2013.0,mln.people,,Kostanay,1657.4,KAZ,,,,,,
2013.0,mln.people,,Kyzylorda,251.3,KAZ,,,,,,
2013.0,mln.people,,Mangistau,85.5,KAZ,,,,,,
2013.0,mln.people,,Ontustik Kazakhstan,2257.6,KAZ,,,,,,
2013.0,mln.people,,Pavlodar,1194.6,KAZ,,,,,,
2013.0,mln.people,,Soltustik Kazakhstan,492.8,KAZ,,,,,,
2013.0,mln.people,,Shygys Kazakhstan,1606.7,KAZ,,,,,,
2013.0,mln.people,,Nur-Sultan city,1961.0,KAZ,,,,,,
2013.0,mln.people,,Almaty city,4238.8,KAZ,,,,,,
2013.0,millions tonnes,_L_KZ_090102_1J,,2983.4,KAZ,,,,,,
2013.0,millions tonnes,_L_KZ_090102_1J,Akmola,121.5,KAZ,,,,,,
2013.0,millions tonnes,_L_KZ_090102_1J,Aktobe,62.2,KAZ,,,,,,
2013.0,millions tonnes,_L_KZ_090102_1J,Almaty,159.0,KAZ,,,,,,
2013.0,millions tonnes,_L_KZ_090102_1J,Atyrau,82.6,KAZ,,,,,,
