Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code,COMPOSITE_BREAKDOWN
2017,thousands,_L_KZ_170602_1B,Soltustik Kazakhstan,51.5,KAZ,
2017,thousands,_L_KZ_170602_1B,Shygys Kazakhstan,77.7,KAZ,
2017,thousands,_L_KZ_170602_1B,Nur-Sultan city,50.0,KAZ,
2017,thousands,_L_KZ_170602_1B,Almaty city,109.5,KAZ,
2017,thousands,_L_KZ_170602_1A,Akmola,26.6,KAZ,
2017,thousands,_L_KZ_170602_1A,Aktobe,28.4,KAZ,
2017,thousands,_L_KZ_170602_1A,Almaty,32.1,KAZ,
2017,thousands,_L_KZ_170602_1A,Atyrau,22.7,KAZ,
2017,thousands,_L_KZ_170602_1A,Batys Kazakhstan,16.0,KAZ,
2017,thousands,_L_KZ_170602_1A,Zhambyl,15.5,KAZ,
2017,thousands,_L_KZ_170602_1A,Karagandy,75.0,KAZ,
2017,thousands,_L_KZ_170602_1A,Kostanay,36.6,KAZ,
2017,thousands,_L_KZ_170602_1A,Kyzylorda,11.8,KAZ,
2017,thousands,_L_KZ_170602_1A,Mangistau,31.1,KAZ,
2017,thousands,_L_KZ_170602_1A,Ontustik Kazakhstan,23.6,KAZ,
2017,thousands,_L_KZ_170602_1A,Pavlodar,54.6,KAZ,
2017,thousands,_L_KZ_170602_1A,Soltustik Kazakhstan,29.5,KAZ,
2017,thousands,_L_KZ_170602_1A,Shygys Kazakhstan,61.4,KAZ,
2017,thousands,_L_KZ_170602_1A,Nur-Sultan city,98.7,KAZ,
2017,thousands,_L_KZ_170602_1A,Almaty city,860.7,KAZ,
2018,thousands,,,2461.3,KAZ,
2018,thousands,_L_KZ_170602_1C,,67.4,KAZ,
2018,thousands,_L_KZ_170602_1C,Akmola,3.8,KAZ,
2018,thousands,_L_KZ_170602_1C,Aktobe,2.4,KAZ,
2018,thousands,_L_KZ_170602_1C,Almaty,1.8,KAZ,
2018,thousands,_L_KZ_170602_1C,Atyrau,2.7,KAZ,
2018,thousands,_L_KZ_170602_1C,Batys Kazakhstan,1.9,KAZ,
2018,thousands,_L_KZ_170602_1C,Zhambyl,1.8,KAZ,
2018,thousands,_L_KZ_170602_1C,Karagandy,5.2,KAZ,
2018,thousands,_L_KZ_170602_1C,Kostanay,2.6,KAZ,
2018,thousands,_L_KZ_170602_1C,Kyzylorda,3.0,KAZ,
2018,thousands,_L_KZ_170602_1C,Mangistau,6.8,KAZ,
2018,thousands,_L_KZ_170602_1C,Pavlodar,1.1,KAZ,
2018,thousands,_L_KZ_170602_1C,Soltustik Kazakhstan,2.9,KAZ,
2018,thousands,_L_KZ_170602_1C,Turkistan,2.1,KAZ,
2018,thousands,_L_KZ_170602_1C,Shygys Kazakhstan,1.1,KAZ,
2018,thousands,_L_KZ_170602_1C,Nur-Sultan city,22.6,KAZ,
2018,thousands,_L_KZ_170602_1C,Almaty city,5.4,KAZ,
2018,thousands,_L_KZ_170602_1C,Shymkent city,0.2,KAZ,
2018,thousands,_L_KZ_170602_1B,,1020.8,KAZ,
2018,thousands,_L_KZ_170602_1B,Akmola,75.2,KAZ,
2018,thousands,_L_KZ_170602_1B,Aktobe,50.8,KAZ,
2018,thousands,_L_KZ_170602_1B,Almaty,129.6,KAZ,
2018,thousands,_L_KZ_170602_1B,Atyrau,51.9,KAZ,
2018,thousands,_L_KZ_170602_1B,Batys Kazakhstan,26.0,KAZ,
2018,thousands,_L_KZ_170602_1B,Zhambyl,45.1,KAZ,
2018,thousands,_L_KZ_170602_1B,Karagandy,81.0,KAZ,
2018,thousands,_L_KZ_170602_1B,Kostanay,70.5,KAZ,
2018,thousands,_L_KZ_170602_1B,Kyzylorda,38.6,KAZ,
2018,thousands,_L_KZ_170602_1B,Mangistau,32.2,KAZ,
