Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Akmola,379.3,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Aktobe,49.8,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Almaty,1854.4,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Atyrau,16.4,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Batys Kazakhstan,106.1,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Zhambyl,2231.0,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Karagandy,155.6,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Kostanay,229.0,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Kyzylorda,3055.0,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Mangistau,122.4,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Pavlodar,250.5,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Soltustik Kazakhstan,529.3,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Turkistan,1614.2,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Shygys Kazakhstan,2000.8,KAZ
2014,thousands hectares,_L_KZ_150201_1A,,12627.0,KAZ
2014,thousands hectares,_L_KZ_150201_1A,Akmola,379.4,KAZ
2014,thousands hectares,_L_KZ_150201_1A,Aktobe,50.3,KAZ
2014,thousands hectares,_L_KZ_150201_1A,Almaty,1856.2,KAZ
2014,thousands hectares,_L_KZ_150201_1A,Atyrau,16.4,KAZ
2014,thousands hectares,_L_KZ_150201_1A,Batys Kazakhstan,106.0,KAZ
2014,thousands hectares,_L_KZ_150201_1A,Zhambyl,2236.1,KAZ
