Year,UNIT_MEASURE,Regions,Area,Sex,Value,M49_country_code
2012,per 100000 population,Ontustik Kazakhstan,urban,,12.15,KAZ
2012,per 100000 population,Pavlodar,urban,,25.37,KAZ
2012,per 100000 population,Soltustik Kazakhstan,urban,,3.77,KAZ
2012,per 100000 population,Shygys Kazakhstan,urban,,24.09,KAZ
2012,per 100000 population,Nur-Sultan city,urban,,10.12,KAZ
2012,per 100000 population,Almaty city,urban,,7.25,KAZ
2012,per 100000 population,,rural,,22.8,KAZ
2012,per 100000 population,Akmola,rural,,40.61,KAZ
2012,per 100000 population,Aktobe,rural,,30.0,KAZ
2012,per 100000 population,Almaty,rural,,20.28,KAZ
2012,per 100000 population,Atyrau,rural,,18.62,KAZ
2012,per 100000 population,Batys Kazakhstan,rural,,39.04,KAZ
2012,per 100000 population,Zhambyl,rural,,15.21,KAZ
2012,per 100000 population,Karagandy,rural,,35.65,KAZ
2012,per 100000 population,Kostanay,rural,,46.16,KAZ
2012,per 100000 population,Kyzylorda,rural,,13.05,KAZ
2012,per 100000 population,Mangistau,rural,,4.04,KAZ
2012,per 100000 population,Ontustik Kazakhstan,rural,,11.34,KAZ
2012,per 100000 population,Pavlodar,rural,,34.95,KAZ
2012,per 100000 population,Soltustik Kazakhstan,rural,,11.67,KAZ
2012,per 100000 population,Shygys Kazakhstan,rural,,40.46,KAZ
2012,per 100000 population,,,Male,33.76,KAZ
2012,per 100000 population,Akmola,,Male,62.23,KAZ
2012,per 100000 population,Aktobe,,Male,38.58,KAZ
2012,per 100000 population,Almaty,,Male,35.81,KAZ
2012,per 100000 population,Atyrau,,Male,33.06,KAZ
2012,per 100000 population,Batys Kazakhstan,,Male,58.94,KAZ
2012,per 100000 population,Zhambyl,,Male,23.47,KAZ
2012,per 100000 population,Karagandy,,Male,44.51,KAZ
2012,per 100000 population,Kostanay,,Male,70.78,KAZ
2012,per 100000 population,Kyzylorda,,Male,22.81,KAZ
2012,per 100000 population,Mangistau,,Male,8.68,KAZ
2012,per 100000 population,Ontustik Kazakhstan,,Male,16.83,KAZ
2012,per 100000 population,Pavlodar,,Male,50.83,KAZ
2012,per 100000 population,Soltustik Kazakhstan,,Male,16.24,KAZ
2012,per 100000 population,Shygys Kazakhstan,,Male,54.0,KAZ
2012,per 100000 population,Nur-Sultan city,,Male,17.69,KAZ
2012,per 100000 population,Almaty city,,Male,13.36,KAZ
2012,per 100000 population,,urban,Male,29.98,KAZ
2012,per 100000 population,Akmola,urban,Male,53.56,KAZ
2012,per 100000 population,Aktobe,urban,Male,26.99,KAZ
2012,per 100000 population,Almaty,urban,Male,40.34,KAZ
2012,per 100000 population,Atyrau,urban,Male,31.69,KAZ
2012,per 100000 population,Batys Kazakhstan,urban,Male,47.57,KAZ
2012,per 100000 population,Zhambyl,urban,Male,21.92,KAZ
2012,per 100000 population,Karagandy,urban,Male,40.84,KAZ
2012,per 100000 population,Kostanay,urban,Male,59.48,KAZ
2012,per 100000 population,Kyzylorda,urban,Male,28.15,KAZ
2012,per 100000 population,Mangistau,urban,Male,10.81,KAZ
2012,per 100000 population,Ontustik Kazakhstan,urban,Male,18.61,KAZ
2012,per 100000 population,Pavlodar,urban,Male,46.74,KAZ
2012,per 100000 population,Soltustik Kazakhstan,urban,Male,8.33,KAZ
2012,per 100000 population,Shygys Kazakhstan,urban,Male,42.77,KAZ
2012,per 100000 population,Nur-Sultan city,urban,Male,17.69,KAZ
2012,per 100000 population,Almaty city,urban,Male,13.36,KAZ
2012,per 100000 population,,rural,Male,38.07,KAZ
2012,per 100000 population,Akmola,rural,Male,69.44,KAZ
2012,per 100000 population,Aktobe,rural,Male,56.15,KAZ
2012,per 100000 population,Almaty,rural,Male,34.49,KAZ
2012,per 100000 population,Atyrau,rural,Male,34.27,KAZ
2012,per 100000 population,Batys Kazakhstan,rural,Male,68.92,KAZ
2012,per 100000 population,Zhambyl,rural,Male,24.44,KAZ
2012,per 100000 population,Karagandy,rural,Male,56.77,KAZ
2012,per 100000 population,Kostanay,rural,Male,81.81,KAZ
2012,per 100000 population,Kyzylorda,rural,Male,19.03,KAZ
2012,per 100000 population,Mangistau,rural,Male,6.54,KAZ
2012,per 100000 population,Ontustik Kazakhstan,rural,Male,15.74,KAZ
2012,per 100000 population,Pavlodar,rural,Male,59.32,KAZ
2012,per 100000 population,Soltustik Kazakhstan,rural,Male,21.3,KAZ
2012,per 100000 population,Shygys Kazakhstan,rural,Male,68.53,KAZ
2012,per 100000 population,,,Female,6.56,KAZ
2012,per 100000 population,Akmola,,Female,10.04,KAZ
2012,per 100000 population,Aktobe,,Female,5.61,KAZ
2012,per 100000 population,Almaty,,Female,6.93,KAZ
2012,per 100000 population,Atyrau,,Female,2.5,KAZ
2012,per 100000 population,Batys Kazakhstan,,Female,7.23,KAZ
2012,per 100000 population,Zhambyl,,Female,5.89,KAZ
2012,per 100000 population,Karagandy,,Female,11.01,KAZ
2012,per 100000 population,Kostanay,,Female,10.33,KAZ
2012,per 100000 population,Kyzylorda,,Female,5.55,KAZ
2012,per 100000 population,Mangistau,,Female,1.78,KAZ
2012,per 100000 population,Ontustik Kazakhstan,,Female,6.58,KAZ
2012,per 100000 population,Pavlodar,,Female,8.33,KAZ
2012,per 100000 population,Soltustik Kazakhstan,,Female,1.31,KAZ
2012,per 100000 population,Shygys Kazakhstan,,Female,9.98,KAZ
2012,per 100000 population,Nur-Sultan city,,Female,3.05,KAZ
2012,per 100000 population,Almaty city,,Female,2.14,KAZ
2012,per 100000 population,,urban,Female,5.78,KAZ
2012,per 100000 population,Akmola,urban,Female,7.67,KAZ
2012,per 100000 population,Aktobe,urban,Female,6.59,KAZ
2012,per 100000 population,Almaty,urban,Female,8.93,KAZ
2012,per 100000 population,Atyrau,urban,Female,2.17,KAZ
2012,per 100000 population,Batys Kazakhstan,urban,Female,5.58,KAZ
2012,per 100000 population,Zhambyl,urban,Female,5.79,KAZ
2012,per 100000 population,Karagandy,urban,Female,10.15,KAZ
2012,per 100000 population,Kostanay,urban,Female,8.62,KAZ
2012,per 100000 population,Kyzylorda,urban,Female,3.83,KAZ
2012,per 100000 population,Mangistau,urban,Female,2.05,KAZ
2012,per 100000 population,Ontustik Kazakhstan,urban,Female,6.14,KAZ
2012,per 100000 population,Pavlodar,urban,Female,7.17,KAZ
2012,per 100000 population,Soltustik Kazakhstan,urban,Female,0.0,KAZ
2012,per 100000 population,Shygys Kazakhstan,urban,Female,8.19,KAZ
2012,per 100000 population,Nur-Sultan city,urban,Female,3.05,KAZ
2012,per 100000 population,Almaty city,urban,Female,2.14,KAZ
2012,per 100000 population,,rural,Female,7.55,KAZ
2012,per 100000 population,Akmola,rural,Female,12.24,KAZ
2012,per 100000 population,Aktobe,rural,Female,3.95,KAZ
2012,per 100000 population,Almaty,rural,Female,6.3,KAZ
2012,per 100000 population,Atyrau,rural,Female,2.82,KAZ
2012,per 100000 population,Batys Kazakhstan,rural,Female,8.92,KAZ
2012,per 100000 population,Zhambyl,rural,Female,5.96,KAZ
2012,per 100000 population,Karagandy,rural,Female,14.33,KAZ
2012,per 100000 population,Kostanay,rural,Female,12.22,KAZ
2012,per 100000 population,Kyzylorda,rural,Female,6.88,KAZ
2012,per 100000 population,Mangistau,rural,Female,1.49,KAZ
2012,per 100000 population,Ontustik Kazakhstan,rural,Female,6.88,KAZ
2012,per 100000 population,Pavlodar,rural,Female,11.1,KAZ
2012,per 100000 population,Soltustik Kazakhstan,rural,Female,2.3,KAZ
2012,per 100000 population,Shygys Kazakhstan,rural,Female,12.68,KAZ
2013,per 100000 population,,,,20.67,KAZ
2013,per 100000 population,Akmola,,,37.05,KAZ
2013,per 100000 population,Aktobe,,,20.94,KAZ
